YEAR;MO;DY;ALLSKY_SFC_SW_DWN;ALLSKY_KT;T2M;T2M_MAX;T2M_MIN;TS;RH2M;PRECTOTCORR;PS;WS10M;WD10M
1984;6;18;8.12;0.7;29.62;37.9;21.31;31.23;23.5;0;97.87;3.42;257.19
1984;6;19;7.44;0.64;28.8;37.37;20.99;30.93;23.19;0;97.67;4.3;238.25
1984;6;20;6.85;0.59;25.44;32.65;19.83;27.58;26.69;0;97.62;7.14;120.5
1984;6;21;7.68;0.66;24.69;32.5;17.31;26.9;26.31;0;97.76;4.59;180.25
1984;6;22;7.5;0.65;26.19;34.58;18.72;28.35;28.31;0;98.01;3.77;224.06
1984;6;23;7.61;0.66;27.22;34.74;19.64;29.46;33.81;0.02;98.19;2.84;197.31
1984;6;24;6.89;0.59;26.43;32.51;20.04;28.58;44.5;0;98.18;3.33;148.12
1984;6;25;6.55;0.57;27.76;34.98;20.36;29.74;44.88;0;97.88;3.14;148.69
1984;6;26;6.66;0.58;28.5;35.58;21.75;30.86;44;0;97.78;3.24;211.75
1984;6;27;8.38;0.73;30.21;37.7;22.65;32.52;43.38;0;97.84;2.79;220.31
1984;6;28;7.82;0.68;30.8;37.73;24.1;33.08;39.62;0.01;97.87;3.12;227.62
1984;6;29;7.61;0.66;31.34;38.98;24.52;33.94;34.44;0;97.72;2.75;241.44
1984;6;30;8.02;0.7;31.14;39.56;23.73;33.6;31.88;0;97.68;2.71;272.94
1984;7;1;8.32;0.73;32.55;40.39;24.67;34.69;22.25;0;97.68;2.94;182.38
1984;7;2;8.38;0.73;32.01;41.26;24.24;33.88;19.88;0;97.73;6.2;171.75
1984;7;3;8.56;0.74;30.19;38.64;20.84;32.51;22.62;0;97.65;4.9;227.44
1984;7;4;7.99;0.7;32.3;40.86;24.98;34.14;17.12;0;97.62;3.46;226.12
1984;7;5;7.36;0.64;30.38;37.19;23.73;32.39;30.06;0;97.68;3.31;242.19
1984;7;6;6.66;0.58;30.19;36.8;23.08;32.26;38.25;0;97.69;3.57;245.31
1984;7;7;7.27;0.63;29.54;35.05;23.91;31.76;42.19;0;97.71;3.51;244.38
1984;7;8;7.16;0.62;29.58;37.25;23.1;32.05;38.38;0;97.6;3.31;218.06
1984;7;9;7.1;0.62;27.26;32.65;22.27;29.49;47.88;0;97.66;3.41;200.94
1984;7;10;7.33;0.64;28.41;35.59;20.17;30.94;38.94;0;97.84;2.73;260.56
1984;7;11;7.92;0.7;29.27;37.65;21.32;31.81;27.62;0;97.72;4.54;240.06
1984;7;12;7.5;0.66;29.46;38.23;20.95;31.57;24;0;97.65;6.59;195.5
1984;7;13;6.9;0.61;28.19;36.91;20.73;30.64;31.88;0;97.59;5.31;211.25
1984;7;14;5.62;0.5;28.41;34.67;22.73;30.8;36.44;0.01;97.64;3.54;221.06
1984;7;15;6.98;0.62;29.47;36.87;22.82;31.55;34.19;0;97.53;3.84;220.94
1984;7;16;7.02;0.62;29.89;36.82;23.77;32.08;33.88;0;97.51;3.42;216
1984;7;17;7.85;0.7;30.12;37.58;23.68;32.3;37.38;0;97.57;3.28;216.62
1984;7;18;6.9;0.62;30.38;37.54;23.62;32.31;38.75;0;97.77;2.91;223.75
1984;7;19;6.56;0.59;30.88;38.45;24.17;32.75;31.62;0;97.79;3.12;239.12
1984;7;20;7.63;0.68;32.18;40.29;25.28;33.94;33.62;0;97.56;2.69;239
1984;7;21;7.74;0.7;31.31;40;24.05;33.51;28.5;0;97.46;3.43;229.25
1984;7;22;6.62;0.59;29.83;36.48;24.28;32.42;46.06;0.07;97.66;3.38;219.69
1984;7;23;5.55;0.5;31.19;38.43;23.76;33.73;44.44;0;97.75;2.43;240.06
1984;7;24;7.33;0.66;31.58;39.55;24.55;33.73;29.69;0;97.55;4.19;232.62
1984;7;25;7.45;0.67;31.43;39.37;25.19;33.71;25.69;0;97.45;3.26;241.56
1984;7;26;6.49;0.59;30.91;38.65;23.56;33.05;26.38;0;97.72;2.78;271.5
1984;7;27;7.1;0.65;30.34;38.35;23.58;32.65;32.94;0;97.83;3.38;257.69
1984;7;28;5.76;0.52;28.78;34.77;22.62;31.02;40.25;0;97.71;3.35;150.06
1984;7;29;5.04;0.46;27.05;32.98;22.5;28.92;48.56;0;97.71;4.41;231.12
